English,Deutsch
office,das Büro
computer,der Computer
printer,der Drucker
office desk,der Schreibtisch
telephone,das Telefon
lamp,die Lampe
calendar,der Kalender
ballpoint pen,der Kugelschreiber
letter,der Brief
office chair,der Bürostuhl
envelope,der Briefumschlag
scissors,die Schere
mouse,die Maus
DVD,die DVD
keyboard,die Tastatur
wastepaper basket,der Papierkorb
notebook,das Notebook
pencil,der Bleistift
eraser,der Radiergummi
clip,die Büroklammer
staple,die Heftklammer
mug,der Becher
ruler,das Lineal
stamp,der Stempel
sharpener,der Anspitzer
